codigo;nombre;nivel;nombre
INF-111;Introducción a la Informática;1;1er semestre
LIN-116;Gramática Española;1;1er semestre
MAT-114;Matemática Discreta I;1;1er semestre
INF-112;Organización de Computadoras;1;1er semestre
LAB-111;Laboratorio de Inf-111;1;1er semestre
INF-113;Laboratorio de Computación;1;1er semestre
MAT-115;Análisis Matemático I;1;1er semestre
MAT-123;Matemática Discreta II;2;2do semestre
FIS-122;Física I;2;2do semestre
MAT-124;Álgebra Lineal;2;2do semestre
MAT-125;Análisis Matemático II;2;2do semestre
LAB-122;Laboratorio de Física I;2;2do semestre
LAB-121;Laboratorio de Inf-121;2;2do semestre
INF-121;Algoritmos y Programación;2;2do semestre
EST-133;Estadística I;3;3er semestre
FIS-132;Física II;3;3er semestre
LAB-132;Laboratorio de Física II;3;3er semestre
INF-131;Estructura de Datos y Algoritmos;3;3er semestre
LAB-131;Laboratorio de Inf-131;3;3er semestre
LIN-135;Idioma I;3;3er semestre
MAT-134;Análisis Matemático III;3;3er semestre
INF-144;Lógica para la Ciencia de la Computación;4;4to semestre
INF-142;Fundamentos Digitales;4;4to semestre
INF-143;Taller de Programación;4;4to semestre
INF-141;Sistemas de Gestión;4;4to semestre
EST-145;Estadística II;4;4to semestre
INF-153;Assembler;5;5to semestre
EST-155;Investigación de Operaciones I;5;5to semestre
INF-154;Lenguajes Formales y Autómatas;5;5to semestre
INF-152;Sistemas de Información Gerencial;5;5to semestre
INF-151;Sistemas Operativos;5;5to semestre
MAT-156;Análisis Numérico;5;5to semestre
INF-166;Informática y Sociedad;6;6to semestre
INF-164;Teoría de la Información y Codificación;6;6to semestre
EST-165;Investigación de Operaciones II;6;6to semestre
INF-163;Ingeniería de Software;6;6to semestre
INF-161;Diseño y Administración de Base de Datos;6;6to semestre
INF-162;Análisis y Diseño de Sistemas de Información;6;6to semestre
INF-272;Taller de Base de Datos;7;7mo semestre
INF-271;Teoría de Sistemas y Modelos;7;7mo semestre
LAB-273;Laboratorio de Inf-273;7;7mo semestre
INF-273;Telemática;7;7mo semestre
INF-282;Especificaciones Formales y Verificación;8;8vo semestre
INF-281;Taller de Sistemas de Información;8;8vo semestre
INF-391;Simulación de Sistemas;9;9no semestre
INF-398;Taller de Licenciatura I;9;9no semestre
INF-399;Taller de Licenciatura II;10;10mo semestre
INF-361;Diseño y Análisis de Algoritmos I;11;Optativas
INF-355;Lenguajes Naturales y Formales;11;Optativas
INF-328;Comparación de Lenguajes;11;Optativas
MAT-144;Estadística Descriptiva;11;Optativas
INF-322;Programación Distribuida;11;Optativas
INF-312;Administración de Unidades de Procesamiento de Datos;11;Optativas
INF-340;Arquitectura de Computadoras y Procesamientos en Paralelo;11;Optativas
INF-319;Programación Funcional y Software;11;Optativas
INF-363;Modelos Lineales;11;Optativas
INF-354;Inteligencia Artificial;11;Optativas
INF-359;Compiladores y Traductores;11;Optativas
MAT-398;Diseño de Compiladores;11;Optativas
INF-365;Simulación y Modelaje;11;Optativas
INF-331;Organización y Métodos de Información;11;Optativas
CPA-201;Sistemas Contables;11;Optativas
ECO-241;Sistemas Económicos II;11;Optativas
INF-329;Idiomas II;11;Optativas
INF-357;Robótica;11;Optativas
INF-351;Sistemas Expertos;11;Optativas
INF-369;Procesos Estocásticos;11;Optativas
INF-336;Teoría General de Sistemas;11;Optativas
INF-360;Computabilidad y Complejidad Algorítmica;11;Optativas
INF-333;Preparación y Evaluación de Proyectos I;11;Optativas
INF-330;Hardware I;11;Optativas
INF-364;Diseño Experimental;11;Optativas
INF-332;Economía;11;Optativas
INF-334;Preparación y Evaluación de Proyectos II;11;Optativas
INF-317;Sistemas en Tiempo Real y Distribuido;11;Optativas
INF-367;Investigación Operativa III;11;Optativas
INF-324;Programación Multimedial;11;Optativas
INF-323;Programación Gráfica;11;Optativas
INF-325;Programación Virtual;11;Optativas
INF-338;Microprocesadores;11;Optativas
MAT-391;Seminario II;11;Optativas
MAT-223;Sistemas de Procesamiento de Datos;11;Optativas
INF-320;Programación Lógica;11;Optativas
MAT-236;Estructura de la Información;11;Optativas
INF-316;Sistemas de Información Gerencial II;11;Optativas
INF-335;Muestreo;11;Optativas
INF-314;Auditoría Informática;11;Optativas
INF-311;Protocolos de Comunicación;11;Optativas
INF-327;Sistemas de Control Automático;11;Optativas
INF-315;Planificación y Seg. de los Sist Informáticos;11;Optativas
